rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
16,Merri-bek,1BR Apartment/unit,84,78,9,0.10714285714285714,0.08706024482545549,0.07594415318411052,0.07761670915421011,0.09627197023334744,True,False,no_price_filter,logistic
17,Darebin,1BR Apartment/unit,50,49,4,0.08,0.082490620100526,0.07199920894482545,0.07050825016617841,0.0942582661154595,True,False,no_price_filter,logistic
18,Stonnington,1BR Apartment/unit,286,222,26,0.09090909090909091,0.08087368398006971,0.0803035063341334,0.07651122351601103,0.08474110506993796,False,False,no_price_filter,logistic
19,Port Phillip,1BR Apartment/unit,478,409,36,0.07531380753138076,0.07823209213348738,0.07611510845297215,0.07469424028355555,0.08200534251228064,False,False,no_price_filter,logistic
1,Melbourne,3BR Apartment/unit,379,170,116,0.30606860158311344,0.29091854444452303,0.28851569277979,0.2742429124732322,0.3078221202707363,False,False,no_price_filter,random_forest
2,Melbourne,2BR Apartment/unit,1608,714,421,0.26181592039800994,0.2433603367986627,0.2329017483447588,0.2334067782041022,0.25390192562265246,False,False,no_price_filter,random_forest
3,Yarra Ranges,3BR House/townhouse,102,88,27,0.2647058823529412,0.23683117566823186,0.22949565822511603,0.21747174007202283,0.2553053148930313,False,False,no_price_filter,random_forest
4,Yarra Ranges,2BR House/townhouse,56,44,11,0.19642857142857142,0.207322817457607,0.20095953911636785,0.18721656065336334,0.23025060920251975,False,False,no_price_filter,random_forest
5,Melbourne,1BR Apartment/unit,1254,665,243,0.1937799043062201,0.19396569822594065,0.19333574411787563,0.18736697989111847,0.20085949819579582,False,False,no_price_filter,random_forest
6,Yarra,2BR House/townhouse,115,112,16,0.1391304347826087,0.13647350314425996,0.12823188147315442,0.12285530536313881,0.1522628729286759,False,False,no_price_filter,random_forest
7,Yarra,1BR Apartment/unit,330,280,43,0.1303030303030303,0.1283033099357363,0.1430920897640261,0.12210320386718285,0.13499378164604975,False,False,no_price_filter,random_forest
8,Yarra,3BR House/townhouse,62,57,8,0.12903225806451613,0.12812533131839027,0.10418152131049999,0.11192242778338761,0.14760144934949834,True,False,no_price_filter,random_forest
9,Glen Eira,2BR Apartment/unit,53,38,4,0.07547169811320754,0.11831015609025394,0.11321692059486053,0.08296453975721531,0.15102215318387952,True,False,no_price_filter,random_forest
